detector,dense,classifier,C,gamma,test_accuracy,train_accuracy,cv_accuracy,time,spatial_pyramid,timestamp
SIFT,False,SVM-RBF,1.0,scale,0.3281818181818182,0.8455172413793104,0.3075862068965517,854.485187292099,False,2025-12-06 12:47:28
SIFT,False,SVM-RBF,1.0,auto,0.09090909090909091,0.08045977011494253,0.08045977011494253,893.353274345398,False,2025-12-06 13:02:34
SIFT,False,SVM-RBF,10.0,scale,0.3340909090909091,0.9998850574712643,0.3119540229885057,824.4407603740692,False,2025-12-06 13:16:30
SIFT,False,SVM-RBF,10.0,auto,0.235,0.2502298850574713,0.1781609195402299,864.2745988368988,False,2025-12-06 13:31:04
SIFT,False,SVM-HistogramIntersection,1.0,scale,0.27454545454545454,0.9993103448275862,0.2724137931034483,1482.0823392868042,False,2025-12-06 13:55:56
SIFT,False,SVM-HistogramIntersection,10.0,scale,0.2918181818181818,0.9998850574712643,0.26482758620689656,1504.1217720508575,False,2025-12-06 14:21:12
SIFT,False,LogisticRegression,1.0,scale,0.36045454545454547,0.5945977011494253,0.31310344827586206,135.78623127937317,True,2025-12-06 14:23:41
SIFT,False,LogisticRegression,10.0,scale,0.3068181818181818,0.9105747126436782,0.27850574712643683,232.04344987869263,True,2025-12-06 14:27:46
SIFT,False,SVM-Linear,1.0,scale,0.3481818181818182,0.672183908045977,0.31666666666666665,4807.521457433701,True,2025-12-06 15:48:06
SIFT,False,SVM-Linear,10.0,scale,0.2963636363636364,0.9942528735632183,0.27448275862068966,5044.0959260463715,True,2025-12-06 17:12:22
